source,target
79150,465863
268475,933619
145917,391195
113380,183436
523030,661495
331288,50230
901759,367593
291891,537473
749097,763203
622918,53522
49353,113470
212579,158674
78156,777626
199875,491421
180062,184433
930055,343955
446228,183881
546355,619654
354384,1119458
1098442,1561423
853756,532969
1391834,957331
281216,1136012
589598,1025838
289696,135649
68011,259944
658330,485213
395230,323263
507512,171018
32,1173
747023,747002
243613,243404
312566,486883
1035027,634279
912371,1129739
349800,456279
307582,24710
554078,400951
65705,303308
1300058,477306
587919,973281
149008,343224
282680,722643
7290,1928
468389,59800
151811,221791
301113,515893
100319,504084
303524,358378
885849,104969
661837,710826
36833,53411
741169,266828
344595,335641
1377751,510616
40530,519745
527575,336376
71503,4560
319764,150559
1109173,208988
139409,191428
67848,222395
85613,100775
736089,738769
101731,910792
417747,78613
947561,492691
516636,516895
990669,148625
746946,788406
554848,57475
304024,375787
347703,527323
338802,611342
986807,1305973
711804,711805
307174,364417
740862,364820
421757,991709
258727,99124
1063318,318088
302652,387627
404568,292160
156488,993944
735869,438287
684211,840303
667869,107043
280346,15494
948149,130657
655720,586620
38925,229886
164406,54145
744784,77888
43484,365420
103232,228687
692049,182090
738543,180861
488472,891023
759968,432925
224620,1020555
425269,783260
52335,274991
590937,654320
33,36787
1369289,102300
205552,115563
556526,639555
617016,377093
173128,696108
711304,904099
11078,183340
383648,676704
891341,434104
896297,454986
9212,9275
919655,1050336
1174353,386157
708168,565590
335471,769133
419016,49068
8624,184005
335439,542754
433214,873863
917902,923681
94078,306707
630849,929018
858850,327030
111033,490984
148483,6228
457008,139050
25867,1233
71076,742696
885392,933482
388010,465980
860888,187708
1157161,526850
229926,347893
23129,21554
283552,666282
1212685,290510
585575,1084167
96193,245189
1035454,580297
629899,525198
26935,196083
206520,42364
787132,375575
594051,601018
557244,289771
1191886,896731
213108,267569
216209,259667
292310,238948
626100,1044130
37875,270851
116080,951783
284395,874969
154474,109209
964843,158855
86589,145893
571562,972119
237238,708065
689646,459537
1169612,33812
562897,62227
1030372,1003849
413780,264236
729511,321719
295794,388238
385969,1299650
545043,413443
52461,24153
94078,90273
100257,99716
465031,374194
131254,484824
135901,1912
1018838,162251
161155,402835
99192,116491
1359023,501855
456907,457156
84068,645168
219339,217477
2598,11964
660912,399082
334490,861670
98340,92526
454909,38177
721980,1039964
39261,505544
795178,1256905
898429,755151
154308,623044
1219908,1007317
357519,396525
711579,582767
46425,89456
226202,58464
627688,470949
179624,57756
439978,289874
2344,16025
664273,705863
432888,370990
749910,725714
265529,341316
301361,453564
613973,61305
120620,515564
314096,996292
842105,153774
124727,860131
651992,204049
808211,638461
122627,927644
699915,478743
218300,241995
283883,1205515
630867,237306
812024,159050
684646,342621
1502118,826982
735271,563821
623009,756611
599977,216473
402128,402125
166065,405286
109463,330065
914906,196005
973096,140783
711158,159716
324250,1244320
40714,196035
627937,512884
1499267,469549
1203647,815357
515420,1069606
393506,121009
173905,14285
1090091,1393032
138661,258094
911687,350353
311638,256643
237301,794760
1332545,1349279
347405,153894
1311046,843764
179565,305038
292134,520709
500026,788654
832838,550453
456516,782703
149076,228862
18531,15154
754807,501616
1395115,855269
21395,19380
78561,153198
445209,209326
216712,333012
101534,307439
106127,539646
462099,262009
570872,681721
64388,703496
37706,129972
434640,1069558
635419,953115
141766,21221
867425,580678
30646,425830
636803,420316
12358,2103
375002,24891
1381043,985343
663062,210487
1098271,525205
10607,108265
429154,60047
252574,46626
620030,405839
346115,512236
941283,941362
70676,433915
8643,34390
260420,61921
54641,356725
23636,34572
88104,358030
92108,112719
235480,213772
588449,905440
731617,521813
474912,1243909
1494003,747144
893853,1100971
602699,644374
195816,149338
160951,56315
1278850,324686
119987,9175
85342,591409
50286,504164
628567,246770
497699,597410
498773,152889
300306,125861
652219,615960
53320,128177
300265,267018
328845,319482
343336,354903
710882,1254019
113080,178461
712170,462620
226533,54856
1398000,1597961
232508,941078
111075,131836
837855,196726
1101310,550969
10109,24988
824603,92067
323962,348694
1222735,481784
106211,45378
904266,255990
424178,55242
254312,145251
360051,360123
3490,40543
361590,330852
128468,644266
969484,969927
644247,1441971
285703,1208001
301822,343845
940829,1566818
1344435,1344598
699629,994728
796150,774643
906957,327283
42807,237931
323269,1176641
773701,716809
344870,344240
85082,85478
465808,178469
806325,678369
357346,40710
348316,1188168
242025,38151
1349730,1075020
11986,129868
404126,64367
104234,393969
1138437,1425262
462869,746932
55902,345419
1250921,614332
448975,205036
572505,753790
538844,1317727
400789,175258
590463,71318
133355,653293
303429,248960
200995,135002
550469,218351
360748,103084
123021,260099
374538,291993
330853,365739
513284,241585
371846,493437
885373,385147
192525,134605
620662,53107
35094,85453
562999,564531
308980,77531
97156,217943
657009,539848
271253,496274
1190290,271382
406934,1003329
504298,266034
632347,546596
273763,228592
447165,670585
200794,437732
311803,245274
1347470,566191
655257,637452
142576,165294
285963,482737
1168764,1128180
439334,70285
974658,583452
611916,696567
27161,78098
540890,779626
277510,299757
699060,292018
688328,1268304
406077,1314653
621647,631005
226307,47769
409404,317428
409464,307122
324360,484553
284138,952488
941642,386010
585692,204877
723169,349352
59069,668718
967103,550211
394487,1240593
423833,528085
206039,126866
166168,498410
191792,422599
421218,546920
336565,38038
297195,455993
656321,578434
237653,469456
374428,374426
581029,203885
1110447,822986
32625,573596
10574,3272
260295,13894
93467,4128
457514,294664
184091,183993
122858,217904
6100,45359
66266,715299
461695,130891
645458,857175
789830,281852
272704,339935
424416,776549
1072986,685748
1065328,274271
673453,753595
559335,1260141
1232087,436744
903488,177756
481736,247679
164119,106636
683121,684057
346802,696511
274363,139127
227534,191639
683366,362909
618692,337600
221871,531614
23225,55752
1002055,384352
119767,894926
516888,390492
743546,1067745
653590,413505
1453561,1255188
493977,37860
594641,695932
943213,209602
291130,544508
231258,706529
853600,798384
86005,337925
937960,126486
534853,1299168
650355,439817
63425,63432
55881,83801
666311,360590
512019,172205
183091,311231
929283,301444
826781,335282
340908,381292
790119,73058
1125778,728757
703492,1096063
416667,722893
156596,202392
118850,81629
312751,1233397
514979,80659
851044,923619
441195,751641
176758,362871
23284,36651
466423,868603
634301,224228
108462,466182
158130,281169
617053,234497
987779,648963
90341,280463
135730,315337
685884,712949
520194,1326299
400912,463032
351603,647697
1005494,1556293
804957,323908
47484,394307
547844,390082
692845,356605
122063,130445
22445,177180
686605,823441
1102117,522967
1106231,1422784
960979,313366
37094,58252
1261413,925694
74429,372533
546067,611397
295474,302930
189204,192933
1368748,769432
672528,90783
719137,838768
73704,283044
120646,104022
393618,526001
736587,231813
1254437,1275873
761441,760742
1015909,926261
17061,491385
225360,594597
840694,511723
182274,733478
689067,522683
476975,444949
327115,102529
610324,900901
482502,494593
667675,667566
839882,461234
1124233,1124241
644225,423204
583087,533749
545149,63743
196920,27419
280733,119408
598369,368647
823355,394790
192899,135299
924061,540191
1079611,594494
548738,101494
381393,669963
525873,518683
673994,1121407
109155,306361
937710,774942
615249,409665
769742,267641
102478,871170
78667,8140
117276,421097
120497,202963
478583,323251
168330,590376
81323,792320
621839,483594
904074,968401
543155,320498
1361036,286608
4939,39754
57476,399438
502742,238304
552184,322668
104766,476053
1108444,606253
481760,741542
6460,823
185037,1423278
112657,9576
468635,117202
78112,777779
251933,203153
61240,86103
241773,203075
569664,580975
471320,178764
178755,26594
253739,13679
565371,1405755
977135,703186
396653,649027
404040,550416
461890,237677
547515,43643
749051,414875
18307,307742
23157,62237
1290797,1092715
893930,95226
190353,157380
264577,241562
544545,636553
1028782,735662
16330,13415
229468,140807
395809,27369
633743,377790
1616261,1499178
865689,199818
979407,761490
575389,1299106
883293,498270
115644,15920
253050,573233
140211,756349
107646,315430
74929,14216
295589,264074
506947,485037
41538,15511
786960,873534
619039,539223
339666,147893
488682,205190
1083916,261944
956684,251308
290728,721233
69512,52254
1060911,178448
89769,108862
617046,655958
663005,744563
131455,697384
34040,210630
112420,553975
1577717,1164201
516636,383112
1021064,1332248
60659,325969
145144,115669
287274,86654
188765,408286
492140,801439
60230,155153
691648,688657
513564,258530
618962,259217
188020,81382
777171,497078
397477,526330
833851,133158
1344543,456650
97854,97857
19747,95716
707697,285121
377070,936992
280166,836297
68456,210940
189595,40064
177242,732411
300867,293573
736191,612363
407065,170619
1194777,275342
190019,304612
632249,584628
219411,10735
496540,64748
38556,124240
96912,62849
345389,600843
456942,774572
171762,436048
275084,274953
788248,1017743
448132,1216652
788891,398519
272937,74661
341011,498089
605066,1402281
281941,190699
363799,53592
26537,206293
866784,958755
326976,324670
909890,115944
1012567,937488
653467,140366
238252,244826
362689,218350
31741,1255
11665,18094
356044,346553
397423,233481
1316459,1199993
303876,233606
352747,448091
572696,983746
127779,321817
631837,762452
242075,12500
1259025,340205
699004,1005912
1166630,912646
54725,55204
392508,388198
190999,1004097
36903,38765
1145155,310391
535648,392872
597945,843701
846750,109084
109398,356734
610638,610185
313898,297864
526740,461477
484961,485875
808430,347200
843229,359866
627014,478405
729345,68566
412005,766104
864091,401476
324719,29671
13335,104186
784037,1023847
584067,1347765
928929,129511
273293,17650
203606,69829
290288,290200
880683,429907
412212,526835
1291521,978574
414834,381201
1011996,276909
627303,266478
1381967,1045490
478537,272887
505284,364194
327020,20769
687994,478272
429135,1131195
387721,888142
419511,197163
62659,344885
148983,37509
216123,581056
465857,488242
1216074,936152
725353,316593
148040,385016
1192132,822903
602168,556155
514035,302778
566254,941552
601279,88018
781802,78905
13012,26989
226231,425355
90035,446037
46959,164963
36574,134061
730637,954492
144625,938853
194804,239676
100423,267626
694329,812990
347581,723335
1398922,937239
435639,255276
414924,316694
632005,361964
762405,468621
125906,617584
231029,661737
125666,1170117
411561,702417
527028,222309
757619,497919
95497,474427
422587,579826
165061,196730
20846,204097
83982,334132
573374,1187374
24328,109496
734086,197531
786505,283512
270919,456623
21000,100501
268944,36916
25415,180973
1155585,153670
665721,330313
698682,194347
677076,60512
170714,1042274
1055364,176121
243183,413711
700917,518131
295619,759442
456001,995133
166355,252860
32798,433877
35691,35918
745681,280138
197177,399861
1232236,919104
720715,707368
559120,65088
389124,123116
84846,668675
723136,944475
1006022,169835
281925,635723
176153,131107
1098949,202322
995403,516482
95044,456902
264777,549805
231467,990816
102959,866725
57347,1482461
42720,42775
54980,852406
387654,233555
916765,737119
603111,603109
250879,396268
130450,303898
69968,378084
363707,857273
173593,34679
572084,94363
317332,136299
213869,310234
377546,55273
80835,789681
962588,794933
67033,18678
32443,443465
786320,875880
202431,281085
4608,29798
1261823,696693
266284,144668
181221,208727
744480,543621
711665,345469
674980,726365
589768,932394
31570,3205
16259,259306
557229,569321
94205,201672
1153968,239828
137714,659529
466230,305081
192084,258557
380230,312013
1320656,452792
169281,298064
37078,489526
1077250,188183
223715,782136
143042,129656
262041,122102
216276,1122145
730803,731353
60931,654558
58194,254040
219982,392983
546166,397338
249855,515201
2796,71456
711762,1238600
1007985,864568
380009,36906
153717,327536
250561,122288
485578,415778
17468,17328
1462701,963613
171889,308130
318283,59152
1288924,432901
137867,265760
716606,716605
171756,814392
227621,154843
663856,1372841
65117,104403
31520,199837
816068,723665
240101,496963
1564917,1148071
985259,292087
302165,536765
332857,80692
1025794,813521
272100,541000
52624,100904
737696,82854
270001,552809
917427,310962
760026,497510
20150,322730
241901,95677
175032,175921
1410452,1611776
485204,659992
1138174,227193
422330,530471
104294,133745
547844,452263
341198,430979
6212,37325
360909,95527
138410,958808
575041,300724
381504,382121
253253,622221
531781,243599
591208,615445
400858,887434
1133744,235614
1078382,188756
386034,508027
885652,775374
861938,17217
800659,285344
5935,254180
98350,7873
766478,1202975
262236,695303
1015871,216212
586777,336443
46047,105194
343860,557010
199024,739082
1027296,765140
315296,571357
262364,421987
